Cell1_RefFormID,Cell1_BaseFormID,Cell2_RefFormID,Cell2_BaseFormID
00106241,00068533,0201FC38,00068533
000D055F,000D055E,0201FA9E,000D055E
000B2439,00074EC6,0201FA71,00074EC6
000D4AE6,0006E0C0,0201F880,0006E0C0
000D4A20,000C84D6,0201F8E7,000C84D6
000576D0,000B9E04,0201F8B2,000B9E04
000576CF,000B9E04,0201F955,000B9E04
000576CE,000B9E04,0201FA65,000B9E04
000D4A1A,000C674C,0201FB33,000C674C
000576D3,0006D911,0201FA7A,0006D911
000608A6,0006B3D3,0201FC42,0006B3D3
000D4A4C,000C2A01,0201FC2B,000C2A01
0008B62C,00000034,0201FB11,00000034
0007AD56,00000034,0201F92D,00000034
0004E0BA,0000003B,0201F88A,0000003B
00048777,00000034,0201FB80,00000034
00048767,00000034,0201F97C,00000034
000BA51B,00097539,0201F8D6,00097539
00016A8A,000368CE,0201FA87,000368CE
0010FA92,000C56C4,0201F8AC,000C56C4
0010FA91,000C56C4,0201F924,000C56C4
0010FA90,000C56C4,0201F9CC,000C56C4
0010FA8F,000C841C,0201FAB2,000C841C
0010FA8E,0003611F,0201F8A2,0003611F
0010FA8D,0003FAB8,0201FBD2,0003FAB8
0010F515,000C2A03,0201FBEA,000C2A03
0010E356,00054174,0201FC20,00054174
001093D9,000D9281,0201FBC8,000D9281
001093D7,000C56C4,0201FAA1,000C56C4
001093D6,000C56C4,0201FA6B,000C56C4
001093D4,000C56C4,0201F8D1,000C56C4
001093D3,000C56C4,0201F979,000C56C4
0010724D,00000003,0201FA74,00000003
00106BBD,00018FED,0201F87B,00018FED
000B00F2,00077773,0201FADC,00077773
000A56CD,000AA8F6,0201FA95,000AA8F6
000576D1,0006D90F,0201FC45,0006D90F
000B243B,00074EC6,0201F9B4,00074EC6
000576CC,000C674D,0201FAEA,000C674D
00036164,00057038,0201F8FF,00057038
000E25CE,000D927D,0201F8B7,000D927D
000E25CD,000D9288,0201FB99,000D9288
000E25CC,000D928D,0201FB51,000D928D
000E25CB,000C56C4,0201FA3C,000C56C4
000E25CA,000C56C4,0201F9EE,000C56C4
000E25C9,000C56C4,0201FBAA,000C56C4
000E25C8,000C56C4,0201FB78,000C56C4
000E25C7,000C56C4,0201FB18,000C56C4
000E25C6,000C56C4,0201FBB9,000C56C4
000E25C5,000C56C4,0201FB40,000C56C4
000E25C4,000C56C4,0201F9A7,000C56C4
000E25C3,000C56C4,0201F9A2,000C56C4
000CE780,0002F5A0,0201F915,0002F5A0
000C97B7,00064106,0201F907,00064106
000C97B6,00064106,0201FAC3,00064106
000C97B5,0006CF36,0201FBA6,0006CF36
000C97B4,00064106,0201F984,00064106
000C97B3,00064106,0201F8A5,00064106
000C97B2,0006CF36,0201F9D1,0006CF36
000B00F5,00077773,0201F8C7,00077773
000AF17F,00018FED,0201F9D4,00018FED
000AF179,000625E0,0201FB71,000625E0
000A9572,000368C2,0201F902,000368C2
000A5604,000AA8F6,0201FB9C,000AA8F6
0009DA00,0003AC21,0201FAFC,0003AC21
0002144A,0005716A,0201F993,0005716A
00021676,0009AF19,0201F8F3,0009AF19
0003FAF2,00057227,0201F95B,00057227
0003FAF1,0003FAB8,0201F941,0003FAB8
0003FAF0,0003FAB8,0201F90B,0003FAB8
0003FAEF,0003FAB8,0201FA30,0003FAB8
0003FAE0,0003FAC1,0201FBB4,0003FAC1
0003FADD,0003FAC1,0201F92A,0003FAC1
0003FADB,0003FABF,0201F8E2,0003FABF
0003FACF,0002702E,0201FC39,0002702E
0003FACB,0003FAB8,0201FBFC,0003FAB8
0003FAC6,0003FAB8,0201FA7D,0003FAB8
0003FAC5,0003FAC0,0201F883,0003FAC0
0003FAC3,0003FAC0,0201F970,0003FAC0
0003FABC,0003FAB8,0201FB6C,0003FAB8
0003FABE,0003FA2E,0201FA97,0003FA2E
0003FAAE,0003FA2D,0201FA85,0003FA2D
0003FAAC,0003FA2D,0201FC16,0003FA2D
0003FAAB,0003FA2D,0201FB5F,0003FA2D
0003FAA2,0003FA2D,0201FAA4,0003FA2D
000576F7,000C4D4F,0201FA6E,000C4D4F
000576EA,00000845,0201FA17,00000845
000576E9,00000845,0201FA05,00000845
000576E6,0005D6E5,0201F8EC,0005D6E5
000576E4,0005D6E6,0201F9BF,0005D6E6
000576DF,0002EC1F,0201FBB5,0002EC1F
000576DE,0003FAB8,0201FA3E,0003FAB8
000576DA,000B9E00,0201F935,000B9E00
000576D9,000B9E01,0201FBDA,000B9E01
000576D8,0002EC1F,0201F9C7,0002EC1F
